Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done
Reset 14,0,0.0,0.0,0,0.0,0.0,1,1,0.1231420629757376,0.0,1,2.0,5.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-2.378830787715515,0.0,2.0,5.0,19,True
Reset 15,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-4.583095645447421,0.0,2.0,5.0,13,True
Reset 16,1,0.13462059715230335,0.0,2,2.0,5.5,1,1,0.1292822155766613,0.0,2,2.0,5.5,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-7.803156491634709,0.0,2.0,5.0,21,True
Reset 17,1,-0.05128374483916809,0.0,0,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-5.760044937660712,0.0,2.0,5.0,20,True
Reset 18,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-8.135894836780238,0.0,2.0,5.0,17,True
Reset 19,1,-0.13667178279048597,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-8.944461744451967,0.0,2.0,5.0,19,True
Reset 20,1,-0.10859674170912204,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-2.540286975828308,0.0,2.0,5.0,16,True
Reset 21,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-5.916642165602319,0.0,2.0,5.0,13,True
Reset 22,0,0.0,0.0,0,0.0,0.0,0,1,0.13793113677115687,0.0,1,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-7.223986845976564,0.0,2.0,5.0,22,True
Reset 23,1,-0.04924318645654524,0.0,1,2.0,5.0,1,1,0.1617511751494769,0.0,1,2.0,5.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-2.4922779123931784,0.0,2.0,5.0,19,True
Reset 24,1,0.015787703186513236,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-7.888757967862499,0.0,2.0,5.0,23,True
Reset 25,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-5.910333867482848,0.0,2.0,5.0,13,True
Reset 26,1,-0.029192676857115796,0.0,0,2.0,5.0,1,1,0.17417835497843903,0.0,1,2.0,5.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-2.571832832677102,0.0,2.0,5.0,19,True
Reset 27,1,-0.13707251896941286,0.0,0,2.0,5.0,0,1,0.13896881550039142,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-6.947062134530354,0.0,2.0,5.0,16,True
Reset 28,0,0.0,0.0,0,0.0,0.0,0,1,-0.08751091992127336,0.0,0,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.803702464131754,0.0,2.0,5.0,17,True
Reset 29,1,-0.016008298574218482,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.679234902828786,0.0,2.0,5.0,25,True
Reset 30,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-8.376486159952716,0.0,2.0,5.0,19,True
Reset 31,0,0.0,0.0,0,0.0,0.0,1,1,0.11841788347831717,0.0,2,2.0,5.5,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-4.656140134318378,0.0,2.0,5.0,24,True
Reset 32,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-3.953866829135876,0.0,2.0,5.0,17,True
Reset 33,1,0.12958271782408604,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-7.536384483495823,0.0,2.0,5.0,18,True
Reset 34,0,0.0,0.0,0,0.0,0.0,1,1,-0.14548465082940099,0.0,0,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-5.706736617040644,0.0,2.0,5.0,13,True
Reset 35,1,-0.15355098281249435,0.0,2,2.0,5.5,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-6.881813771991493,0.0,2.0,5.0,25,True
Reset 36,0,0.0,0.0,0,0.0,0.0,1,1,-0.12198936355188605,0.0,0,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-2.7478092181942717,0.0,2.0,5.0,19,True
Reset 37,1,-0.04323958068805256,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-8.956573998598468,0.0,2.0,5.0,26,True
Reset 38,1,0.009216595189769805,0.0,1,2.0,5.0,0,1,-0.17319503992718954,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-5.641485501404424,0.0,2.0,5.0,22,True
Reset 39,0,0.0,0.0,0,0.0,0.0,0,1,0.15034568955889127,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-7.042427090092835,0.0,2.0,5.0,22,True
Reset 40,1,-0.09349817705652463,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.8365570505307947,0.0,2.0,5.0,17,True
Reset 41,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-8.481680255614224,0.0,2.0,5.0,17,True
Reset 42,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-7.48902465465768,0.0,2.0,5.0,26,True
Reset 43,1,0.17010958939680698,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.145795122195402,0.0,2.0,5.0,16,True
Reset 44,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-9.435245156690662,0.0,2.0,5.0,22,True
Reset 45,1,0.14334561719892247,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-8.1225129312161,0.0,2.0,5.0,18,True
Reset 46,0,0.0,0.0,0,0.0,0.0,1,1,-0.0407000472995207,0.0,0,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-5.399001003688629,0.0,2.0,5.0,25,True
Reset 47,1,-0.11102523955705235,0.0,0,2.0,5.0,0,1,0.10808255854852034,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-9.354531722161422,0.0,2.0,5.0,17,True
Reset 48,1,-0.004281284731928459,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-7.483554825488845,0.0,2.0,5.0,23,True
Reset 49,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-4.543199812270915,0.0,2.0,5.0,24,True
Reset 50,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-8.01321445527272,0.0,2.0,5.0,17,True
Reset 51,0,0.0,0.0,0,0.0,0.0,1,1,-0.041709769821771436,0.0,0,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-6.846133153458707,0.0,2.0,5.0,25,True
Reset 52,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-3.1053749485240294,0.0,2.0,5.0,16,True
Reset 53,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-9.36753943923193,0.0,2.0,5.0,27,True
Reset 54,1,0.07482306645884385,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-8.920466301380703,0.0,2.0,5.0,19,True
Reset 55,1,-0.0782609693619154,0.0,1,2.0,5.0,0,1,0.14186296801873977,0.0,0,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-4.395160623903693,0.0,2.0,5.0,15,True
Reset 56,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-6.142790554479791,0.0,2.0,5.0,17,True
Reset 57,1,-0.05196286149503049,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.300233835060848,0.0,2.0,5.0,24,True
Reset 58,0,0.0,0.0,0,0.0,0.0,1,1,0.08267827760494062,0.0,1,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-7.496191890284413,0.0,2.0,5.0,14,True
Reset 59,1,0.01328129926528443,0.0,0,2.0,5.0,0,1,-0.10501928684995332,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-3.936870763325256,0.0,2.0,5.0,17,True
Reset 60,1,-0.17348920828314007,0.0,0,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-2.495134082048013,0.0,2.0,5.0,19,True
Reset 61,1,-0.01900717650985917,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-9.206143067878399,0.0,2.0,5.0,19,True
Reset 62,0,0.0,0.0,0,0.0,0.0,1,1,0.00864646038118333,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-8.340831829967627,0.0,2.0,5.0,26,True
Reset 63,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-9.783319448045468,0.0,2.0,5.0,15,True
Reset 64,1,0.08324800304223512,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.312372553432996,0.0,2.0,5.0,24,True
Reset 65,1,0.13809623254981562,0.0,0,2.0,5.0,0,1,0.1619351206789601,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-6.071204327320948,0.0,2.0,5.0,22,True
Reset 66,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-7.042678783750572,0.0,2.0,5.0,23,True
Reset 67,1,0.0548483220819842,0.0,0,2.0,5.0,0,1,-0.006445428079721038,0.0,0,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-3.0779425294277276,0.0,2.0,5.0,15,True
Reset 68,1,-0.0816668614891487,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-2.1145930554856562,0.0,2.0,5.0,20,True
Reset 69,0,0.0,0.0,0,0.0,0.0,0,1,-0.06281476369391781,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-8.57509635602078,0.0,2.0,5.0,19,True
Reset 70,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-7.757526330509109,0.0,2.0,5.0,18,True
Reset 71,1,0.05717067226366912,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-7.303989344666142,0.0,2.0,5.0,18,True
Reset 72,1,-0.11820719234258492,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-4.927850467463283,0.0,2.0,5.0,21,True
Reset 73,0,0.0,0.0,0,0.0,0.0,1,1,0.1737289207777568,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-2.494733389132354,0.0,2.0,5.0,19,True
Reset 74,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-2.962148453928119,0.0,2.0,5.0,23,True
Reset 75,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-2.370253180033905,0.0,2.0,5.0,23,True
Reset 76,1,-0.05149780985021524,0.0,1,2.0,5.0,0,1,-0.08157360096924937,0.0,1,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-3.7129380971764165,0.0,2.0,5.0,21,True
Reset 77,0,0.0,0.0,0,0.0,0.0,1,1,-0.014188307364750408,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-2.633982937439658,0.0,2.0,5.0,23,True
Reset 78,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-7.51940921528266,0.0,2.0,5.0,16,True
Reset 79,0,0.0,0.0,0,0.0,0.0,0,1,0.014999299808904354,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-4.679163157225456,0.0,2.0,5.0,22,True
Reset 80,0,0.0,0.0,0,0.0,0.0,1,1,-0.16933210951983457,0.0,0,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-5.36030569430846,0.0,2.0,5.0,20,True
Reset 81,0,0.0,0.0,0,0.0,0.0,0,1,-0.062369125476456455,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-9.873871067814278,0.0,2.0,5.0,24,True
Reset 82,0,0.0,0.0,0,0.0,0.0,0,1,0.07603953271089803,0.0,1,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-5.576545533347339,0.0,2.0,5.0,22,True
Reset 83,1,-0.09731349256565935,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-5.921424480881532,0.0,2.0,5.0,17,True
Reset 84,0,0.0,0.0,0,0.0,0.0,1,1,0.14944910554673974,0.0,1,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-7.528338266614819,0.0,2.0,5.0,14,True
Reset 85,0,0.0,0.0,0,0.0,0.0,1,1,0.11072997014419927,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-4.914189978741863,0.0,2.0,5.0,25,True
Reset 86,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-2.741397428553113,0.0,2.0,5.0,12,True
Reset 87,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-5.053259356752501,0.0,2.0,5.0,20,True
Reset 88,1,0.1188859816214285,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-3.1601110397097383,0.0,2.0,5.0,21,True
Reset 89,1,0.10146076656030556,0.0,1,2.0,5.0,0,1,-0.013673820938856718,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-9.846275230825349,0.0,2.0,5.0,20,True
Reset 90,0,0.0,0.0,0,0.0,0.0,1,1,-0.16195456490343707,0.0,0,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-9.585390638264698,0.0,2.0,5.0,15,True
Reset 91,1,-0.12330171280376923,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-5.034327851254461,0.0,2.0,5.0,20,True
Reset 92,1,-0.08442204757467353,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-7.838820724757167,0.0,2.0,5.0,23,True
Reset 93,1,-0.13902126721722552,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-9.304947268440493,0.0,2.0,5.0,23,True
Reset 94,0,0.0,0.0,0,0.0,0.0,0,1,-0.03638876754609832,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-5.799216749822136,0.0,2.0,5.0,18,True
Reset 95,0,0.0,0.0,0,0.0,0.0,0,1,-0.10789433488875777,0.0,1,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-3.888434963471169,0.0,2.0,5.0,21,True
Reset 96,0,0.0,0.0,0,0.0,0.0,1,1,0.027485872820152357,0.0,0,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-8.548966390227786,0.0,2.0,5.0,26,True
Reset 97,1,0.019821658998526503,0.0,1,2.0,5.0,0,1,0.1454369847245316,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-3.5429511541049035,0.0,2.0,5.0,21,True
Reset 98,0,0.0,0.0,0,0.0,0.0,0,1,0.0073306762857114904,0.0,1,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-5.296613140645665,0.0,2.0,5.0,22,True
Reset 99,0,0.0,0.0,0,0.0,0.0,1,1,0.16617670191975709,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-9.3124626512982,0.0,2.0,5.0,27,True
Reset 100,1,-0.04476349325199669,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-9.265465467524322,0.0,2.0,5.0,19,True
Reset 101,1,0.15684130664129214,0.0,0,2.0,5.0,1,1,0.0626852494807697,0.0,0,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-3.6997495455212004,0.0,2.0,5.0,19,True
Reset 102,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.574382497137912,0.0,2.0,5.0,25,True
Reset 103,1,-0.11413205267197801,0.0,0,2.0,5.0,1,1,-0.11313542513839714,0.0,1,2.0,5.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-9.647728162521227,0.0,2.0,5.0,22,True
Reset 104,1,0.10491279365363959,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-8.50812195270878,0.0,2.0,5.0,19,True
Reset 105,0,0.0,0.0,0,0.0,0.0,0,1,-0.06965019873579847,0.0,1,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-3.264822334066321,0.0,2.0,5.0,21,True
Reset 106,1,0.1339932826341279,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-9.188386018143634,0.0,2.0,5.0,17,True
Reset 107,0,0.0,0.0,0,0.0,0.0,0,1,0.06579449266039106,0.0,0,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-5.823127138457665,0.0,2.0,5.0,22,True
Reset 108,1,0.05488890858992268,0.0,1,2.0,5.0,0,1,-0.04724806993596964,0.0,2,2.0,5.5,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-2.3698067171610857,0.0,2.0,5.0,20,True
Reset 109,0,0.0,0.0,0,0.0,0.0,0,1,-0.01658640067002226,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.532906657445321,0.0,2.0,5.0,16,True
Reset 110,0,0.0,0.0,0,0.0,0.0,0,1,0.13906890997131094,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-9.12794441092526,0.0,2.0,5.0,24,True
Reset 111,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-5.837943371629807,0.0,2.0,5.0,13,True
Reset 112,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-6.264525098971796,0.0,2.0,5.0,22,True
Reset 113,0,0.0,0.0,0,0.0,0.0,1,1,-0.001710506215790053,0.0,1,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-3.7090384681708928,0.0,2.0,5.0,13,True
Reset 114,1,-0.10968411493094488,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-3.2554404144794473,0.0,2.0,5.0,19,True
Reset 115,0,0.0,0.0,0,0.0,0.0,1,1,-0.16565394696402502,0.0,1,2.0,5.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-7.234771348429756,0.0,2.0,5.0,21,True
Reset 116,1,-0.13624567986402325,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-6.444863495198792,0.0,2.0,5.0,22,True
Reset 117,0,0.0,0.0,0,0.0,0.0,0,1,-0.047878220317926656,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-9.672632619264222,0.0,2.0,5.0,23,True
Reset 118,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-6.912433181159332,0.0,2.0,5.0,26,True
Reset 119,1,0.030278033014670136,0.0,2,2.0,5.5,0,1,-0.13013568580288304,0.0,0,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.2522390105267123,0.0,2.0,5.0,16,True
Reset 120,1,0.08223005561210806,0.0,0,2.0,5.0,0,1,-0.06222970865622024,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-4.779681181120472,0.0,2.0,5.0,17,True
Reset 121,1,-0.11772272195428757,0.0,0,2.0,5.0,0,1,-0.12094825149234101,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-5.700666794075238,0.0,2.0,5.0,16,True
Reset 122,0,0.0,0.0,0,0.0,0.0,1,1,-0.07759832927062682,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-2.162034778854226,0.0,2.0,5.0,23,True
Reset 123,1,-0.1382594212535393,0.0,0,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-2.7778163764705495,0.0,2.0,5.0,19,True
Reset 124,1,-0.1678266224520497,0.0,2,2.0,5.5,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-8.342211614787654,0.0,2.0,5.0,23,True
